BARRIO;METROS;HABITACIONES;PRECIO_TOTAL;PRECIO_M2;PRECIO_M2_BARRIO;DIFERENCIA;OPORTUNIDAD
Moncloa;95;1;478.762 €;5040;5679;-639.39;OPORTUNIDAD
Arganzuela;105;5;265.663 €;2530;2804;-273.87;NORMAL
Moncloa;144;3;382.771 €;2658;2600;58.13;NORMAL
San Blas;149;3;784.736 €;5267;5586;-319.31;NORMAL
Chamartin;49;1;141.334 €;2884;3094;-209.62;NORMAL
Latina;145;4;712.308 €;4912;4727;185.47;NORMAL
Carabanchel;91;4;633.199 €;6958;6049;909.24;NORMAL
Moratalaz;116;4;332.217 €;2864;2705;158.94;NORMAL
Moratalaz;149;1;747.198 €;5015;4353;661.76;NORMAL
San Blas;44;2;166.800 €;3791;3970;-179.09;NORMAL
Centro;148;1;498.296 €;3367;3012;354.87;NORMAL
Carabanchel;85;5;372.592 €;4383;3930;453.44;NORMAL
Tetuan;44;4;146.208 €;3323;3045;277.93;NORMAL
Barajas;108;5;311.388 €;2883;2659;224.22;NORMAL
Chamartin;78;5;204.531 €;2622;2694;-71.8;NORMAL
Chamartin;52;4;367.330 €;7064;6779;285.05;NORMAL
Carabanchel;108;5;403.790 €;3739;3451;287.8;NORMAL
Villaverde;129;2;612.565 €;4749;5130;-381.43;NORMAL
Salamanca;68;4;329.951 €;4852;5211;-358.76;NORMAL
Vicalvaro;109;4;507.974 €;4660;5287;-626.68;OPORTUNIDAD
Retiro;143;3;472.127 €;3302;3082;219.59;NORMAL
Tetuan;123;2;278.810 €;2267;2688;-421.25;OPORTUNIDAD
Carabanchel;40;3;234.348 €;5859;4973;885.7;NORMAL
Vicalvaro;117;5;696.572 €;5954;6413;-459.39;NORMAL
Villaverde;82;5;450.580 €;5495;4753;741.88;NORMAL
Vicalvaro;130;2;376.661 €;2897;3467;-569.6;OPORTUNIDAD
Villaverde;126;4;562.761 €;4466;3785;681.36;NORMAL
Carabanchel;89;4;337.674 €;3794;3174;620.1;NORMAL
Ciudad Lineal;58;3;335.750 €;5789;6694;-905.2;OPORTUNIDAD
Salamanca;88;5;262.966 €;2988;3682;-693.75;OPORTUNIDAD
Centro;115;5;799.228 €;6950;6009;940.81;NORMAL
Moncloa;104;2;459.684 €;4420;4542;-121.96;NORMAL
Centro;84;3;347.282 €;4134;4035;99.32;NORMAL
Moncloa;96;3;586.048 €;6105;5108;996.67;NORMAL
Villa de Vallecas;85;1;502.110 €;5907;5752;155.19;NORMAL
Usera;62;4;385.592 €;6219;5546;673.23;NORMAL
Ciudad Lineal;107;2;645.169 €;6030;5058;971.62;NORMAL
Moratalaz;88;5;451.996 €;5136;5898;-761.67;OPORTUNIDAD
Moncloa;116;1;567.886 €;4896;5168;-272.43;NORMAL
Vicalvaro;119;5;354.583 €;2980;3119;-139.31;NORMAL
Salamanca;110;4;475.033 €;4318;4776;-457.51;NORMAL
Moratalaz;92;1;392.002 €;4261;3973;287.9;NORMAL
Villaverde;131;3;466.982 €;3565;4165;-600.25;OPORTUNIDAD
Moratalaz;61;3;400.765 €;6570;6035;534.93;NORMAL
San Blas;98;2;266.229 €;2717;2905;-188.38;NORMAL
Puente de Vallecas;107;4;600.770 €;5615;4803;811.67;NORMAL
Villaverde;60;4;280.764 €;4679;4167;512.42;NORMAL
Latina;43;5;174.056 €;4048;3701;346.82;NORMAL
San Blas;87;4;277.033 €;3184;3737;-552.71;OPORTUNIDAD
Retiro;132;2;557.355 €;4222;4988;-765.61;OPORTUNIDAD
Usera;104;4;248.739 €;2392;2973;-581.28;OPORTUNIDAD
Villaverde;128;2;756.298 €;5909;6882;-973.42;OPORTUNIDAD
Chamartin;107;3;320.734 €;2998;3032;-34.48;NORMAL
Barajas;51;1;165.872 €;3252;3850;-597.61;OPORTUNIDAD
Puente de Vallecas;122;1;639.018 €;5238;4720;517.86;NORMAL
Villaverde;127;5;689.753 €;5431;4883;548.13;NORMAL
San Blas;140;4;476.291 €;3402;3158;244.08;NORMAL
Hortaleza;97;5;315.516 €;3253;3725;-472.25;OPORTUNIDAD
Latina;111;3;616.072 €;5550;5516;34.2;NORMAL
Villa de Vallecas;76;1;554.228 €;7292;6258;1034.48;NORMAL
Carabanchel;132;2;876.514 €;6640;6531;109.26;NORMAL
Usera;57;4;177.460 €;3113;3105;8.35;NORMAL
Chamberi;95;2;443.848 €;4672;4497;175.09;NORMAL
Latina;86;5;380.005 €;4419;4425;-6.34;NORMAL
Salamanca;135;3;668.002 €;4948;5290;-341.84;NORMAL
Retiro;116;4;787.384 €;6788;6318;469.8;NORMAL
Carabanchel;106;3;616.116 €;5812;6054;-241.58;NORMAL
Salamanca;60;5;345.813 €;5764;6621;-857.44;OPORTUNIDAD
Villaverde;129;4;811.410 €;6290;6735;-445.0;NORMAL
Chamberi;72;3;265.703 €;3690;3110;580.33;NORMAL
Salamanca;66;1;273.437 €;4143;4158;-15.01;NORMAL
Salamanca;92;2;388.134 €;4219;3931;287.86;NORMAL
Hortaleza;132;1;860.201 €;6517;6975;-458.32;NORMAL
Villa de Vallecas;59;5;293.506 €;4975;5245;-270.31;NORMAL
Latina;100;5;359.305 €;3593;4073;-479.95;OPORTUNIDAD
Hortaleza;130;3;622.831 €;4791;5789;-997.99;OPORTUNIDAD
Carabanchel;100;3;633.273 €;6333;6953;-620.27;NORMAL
Salamanca;52;4;327.691 €;6302;6137;164.76;NORMAL
Puente de Vallecas;144;1;744.744 €;5172;5104;67.84;NORMAL
Ciudad Lineal;66;2;432.486 €;6553;6399;153.83;NORMAL
Salamanca;53;4;197.994 €;3736;3281;454.75;NORMAL
Salamanca;75;1;233.114 €;3108;3571;-462.8;OPORTUNIDAD
Salamanca;130;4;606.110 €;4662;5384;-721.61;OPORTUNIDAD
Moncloa;82;1;550.492 €;6713;6456;257.33;NORMAL
Chamartin;118;3;317.441 €;2690;2773;-82.82;NORMAL
Ciudad Lineal;140;4;721.681 €;5155;5686;-531.13;NORMAL
Moncloa;103;2;261.705 €;2541;2873;-332.17;OPORTUNIDAD
Chamberi;107;2;672.253 €;6283;6210;72.74;NORMAL
Retiro;72;2;197.200 €;2739;2643;95.9;NORMAL
Salamanca;50;4;266.662 €;5333;6094;-760.75;OPORTUNIDAD
Centro;96;3;299.207 €;3117;2787;329.75;NORMAL
Hortaleza;72;2;291.063 €;4043;3584;458.55;NORMAL
Chamartin;100;5;659.661 €;6597;6992;-395.38;NORMAL
Retiro;112;5;473.790 €;4230;4433;-202.73;NORMAL
Chamberi;136;3;597.918 €;4396;4192;204.46;NORMAL
Vicalvaro;73;5;267.622 €;3666;3376;290.06;NORMAL
Retiro;100;4;569.825 €;5698;5873;-174.74;NORMAL
Moratalaz;139;1;759.781 €;5466;6716;-1249.94;OPORTUNIDAD
Vicalvaro;86;5;451.252 €;5247;6555;-1307.88;OPORTUNIDAD
Usera;54;2;215.139 €;3984;4205;-220.94;NORMAL
Ciudad Lineal;110;4;305.680 €;2779;2859;-80.08;NORMAL
Barajas;96;3;493.091 €;5136;5346;-209.63;NORMAL
San Blas;111;1;407.610 €;3672;3916;-243.84;NORMAL
Ciudad Lineal;41;5;204.299 €;4983;5573;-590.08;OPORTUNIDAD
Moratalaz;146;4;568.387 €;3893;3833;60.06;NORMAL
Villa de Vallecas;120;3;521.291 €;4344;3679;665.09;NORMAL
Villaverde;93;3;575.951 €;6193;6198;-4.97;NORMAL
Chamberi;145;1;888.981 €;6131;5249;881.9;NORMAL
Usera;92;4;363.033 €;3946;3410;536.02;NORMAL
Centro;88;1;450.057 €;5114;4670;444.29;NORMAL
Hortaleza;144;4;620.530 €;4309;3987;322.24;NORMAL
Moncloa;63;5;508.195 €;8067;6982;1084.6;NORMAL
Barajas;47;1;149.071 €;3172;2713;458.74;NORMAL
Centro;136;2;511.707 €;3763;3493;269.55;NORMAL
Carabanchel;103;4;300.249 €;2915;2974;-58.95;NORMAL
Salamanca;123;3;690.803 €;5616;6077;-460.71;NORMAL
Usera;141;1;501.436 €;3556;3314;242.28;NORMAL
Latina;44;4;294.307 €;6689;6165;523.81;NORMAL
Ciudad Lineal;134;1;738.403 €;5510;6246;-735.52;OPORTUNIDAD
Hortaleza;140;5;561.518 €;4011;4562;-551.16;OPORTUNIDAD
Hortaleza;51;1;356.758 €;6995;6965;30.26;NORMAL
Moratalaz;146;5;494.776 €;3389;3434;-45.12;NORMAL
Centro;123;4;789.855 €;6422;6518;-96.41;NORMAL
Tetuan;72;5;345.491 €;4798;5175;-376.5;NORMAL
Puente de Vallecas;47;2;343.228 €;7303;6430;872.73;NORMAL
Arganzuela;143;3;919.833 €;6432;5448;984.4;NORMAL
Usera;78;1;532.304 €;6824;6987;-162.58;NORMAL
Barajas;114;4;751.245 €;6590;6934;-344.13;NORMAL
Salamanca;107;2;344.522 €;3220;2889;330.84;NORMAL
Usera;140;2;602.493 €;4304;4884;-580.47;OPORTUNIDAD
Villaverde;71;2;388.931 €;5478;5307;170.91;NORMAL
Usera;61;1;332.023 €;5443;4544;899.02;NORMAL
Puente de Vallecas;96;5;441.878 €;4603;4013;589.9;NORMAL
Hortaleza;55;2;314.093 €;5711;6747;-1036.2;OPORTUNIDAD
Salamanca;74;5;224.937 €;3040;3779;-739.31;OPORTUNIDAD
Chamartin;93;1;341.085 €;3668;3177;490.58;NORMAL
Carabanchel;108;5;529.584 €;4904;4315;588.56;NORMAL
Arganzuela;107;4;378.886 €;3541;3929;-388.0;NORMAL
Carabanchel;87;5;487.696 €;5606;4902;703.71;NORMAL
Puente de Vallecas;136;4;381.105 €;2802;2948;-145.75;NORMAL
Usera;149;2;695.332 €;4667;4680;-13.34;NORMAL
Carabanchel;82;3;451.038 €;5500;6515;-1014.53;OPORTUNIDAD
Moratalaz;68;2;234.082 €;3442;2964;478.39;NORMAL
Usera;105;4;513.311 €;4889;4627;261.68;NORMAL
Usera;51;3;264.535 €;5187;5607;-420.04;NORMAL
Moncloa;131;4;325.397 €;2484;2769;-285.05;OPORTUNIDAD
Tetuan;73;4;317.288 €;4346;3962;384.42;NORMAL
Arganzuela;111;5;558.181 €;5029;5445;-416.34;NORMAL
Hortaleza;105;2;316.833 €;3017;2910;107.46;NORMAL
Moncloa;44;3;287.597 €;6536;5727;809.31;NORMAL
Barajas;50;2;331.931 €;6639;5937;701.63;NORMAL
Barajas;146;4;728.770 €;4992;5590;-598.42;OPORTUNIDAD
Ciudad Lineal;57;4;255.094 €;4475;4641;-165.66;NORMAL
Chamberi;64;5;284.158 €;4440;3847;592.97;NORMAL
Moratalaz;87;4;504.842 €;5803;6251;-448.22;NORMAL
Villa de Vallecas;148;1;797.199 €;5386;6487;-1100.52;OPORTUNIDAD
Moncloa;74;4;280.382 €;3789;3384;404.95;NORMAL
Salamanca;91;5;434.927 €;4779;4034;745.42;NORMAL
Chamberi;126;1;876.697 €;6958;6774;183.92;NORMAL
Salamanca;89;1;363.365 €;4083;3718;364.75;NORMAL
Tetuan;50;3;136.441 €;2729;2815;-86.18;NORMAL
Barajas;79;1;465.705 €;5895;5057;838.01;NORMAL
Carabanchel;40;2;193.694 €;4842;5363;-520.64;NORMAL
San Blas;125;5;604.738 €;4838;4389;448.91;NORMAL
San Blas;139;4;354.539 €;2551;3007;-456.36;OPORTUNIDAD
Centro;83;5;324.150 €;3905;3503;402.43;NORMAL
Moncloa;67;2;290.759 €;4340;4174;165.69;NORMAL
Arganzuela;141;2;962.901 €;6829;6436;393.09;NORMAL
Latina;127;4;632.618 €;4981;6163;-1181.75;OPORTUNIDAD
Usera;70;1;359.761 €;5139;6199;-1059.55;OPORTUNIDAD
Arganzuela;56;1;296.723 €;5299;5276;22.64;NORMAL
Latina;73;2;476.106 €;6522;5863;659.01;NORMAL
Centro;57;5;303.441 €;5324;5164;159.53;NORMAL
Moncloa;139;1;651.747 €;4689;5160;-471.17;NORMAL
Retiro;93;3;261.538 €;2812;3399;-586.76;OPORTUNIDAD
Vicalvaro;83;5;219.493 €;2644;3221;-576.5;OPORTUNIDAD
Hortaleza;89;1;338.294 €;3801;3721;80.06;NORMAL
Ciudad Lineal;120;1;690.780 €;5757;5994;-237.5;NORMAL
Arganzuela;57;1;193.365 €;3392;3307;85.37;NORMAL
Vicalvaro;126;4;707.092 €;5612;4809;802.84;NORMAL
Chamartin;62;2;265.228 €;4278;4952;-674.13;OPORTUNIDAD
Villaverde;99;5;645.988 €;6525;5646;879.13;NORMAL
Tetuan;141;4;647.250 €;4590;4963;-372.57;NORMAL
Villa de Vallecas;103;5;311.561 €;3025;3290;-265.13;NORMAL
Moncloa;110;3;543.325 €;4939;5826;-886.68;OPORTUNIDAD
Puente de Vallecas;135;3;567.574 €;4204;4852;-647.74;OPORTUNIDAD
Chamartin;124;3;429.123 €;3461;3786;-325.33;NORMAL
Ciudad Lineal;135;1;714.604 €;5293;4653;640.37;NORMAL
Chamberi;71;5;148.628 €;2093;2607;-513.64;OPORTUNIDAD
Ciudad Lineal;40;1;169.803 €;4245;4956;-710.91;OPORTUNIDAD
Latina;72;2;407.303 €;5657;5566;91.0;NORMAL
Villa de Vallecas;120;5;482.709 €;4023;3570;452.58;NORMAL
Salamanca;129;1;800.181 €;6203;5718;484.95;NORMAL
Moncloa;55;1;313.894 €;5707;6388;-680.83;OPORTUNIDAD
Villaverde;124;3;367.599 €;2965;3538;-573.48;OPORTUNIDAD
Villa de Vallecas;63;3;236.567 €;3755;3422;333.03;NORMAL
Ciudad Lineal;62;4;392.467 €;6330;5793;537.12;NORMAL
San Blas;80;2;498.943 €;6237;6884;-647.21;NORMAL
Chamartin;112;4;514.506 €;4594;3863;730.81;NORMAL
Vicalvaro;47;1;138.186 €;2940;2692;248.13;NORMAL
Chamberi;123;5;685.411 €;5572;6307;-734.55;OPORTUNIDAD
Ciudad Lineal;140;2;439.060 €;3136;2954;182.15;NORMAL
Chamartin;55;3;209.433 €;3808;3646;161.88;NORMAL
Villaverde;100;4;525.272 €;5253;5509;-256.28;NORMAL
Arganzuela;93;1;315.578 €;3393;2934;459.31;NORMAL
Puente de Vallecas;116;3;317.617 €;2738;2509;229.08;NORMAL
Tetuan;125;2;434.621 €;3477;2996;480.97;NORMAL
Carabanchel;89;2;653.576 €;7344;6724;619.56;NORMAL
Carabanchel;64;5;295.544 €;4618;4591;26.89;NORMAL
Chamberi;43;4;268.364 €;6241;5208;1033.04;NORMAL
Centro;61;2;169.022 €;2771;3127;-356.14;OPORTUNIDAD
Tetuan;121;3;604.996 €;5000;4213;786.97;NORMAL
Latina;86;1;500.069 €;5815;5156;658.77;NORMAL
Tetuan;104;4;439.154 €;4223;4259;-36.36;NORMAL
Villaverde;138;4;396.202 €;2871;2501;370.03;NORMAL
Chamberi;95;4;242.783 €;2556;3049;-493.38;OPORTUNIDAD
Chamartin;116;5;666.745 €;5748;4902;845.8;NORMAL
Usera;46;1;240.601 €;5230;4840;390.46;NORMAL
Latina;85;4;353.330 €;4157;3848;308.83;NORMAL
Vicalvaro;122;2;464.018 €;3803;3219;584.43;NORMAL
Barajas;44;1;238.083 €;5411;5792;-381.01;NORMAL
Villa de Vallecas;124;3;803.168 €;6477;6950;-472.84;NORMAL
Arganzuela;43;1;125.373 €;2916;2621;294.65;NORMAL
Ciudad Lineal;53;2;302.192 €;5702;6042;-340.25;NORMAL
Usera;95;1;614.395 €;6467;6857;-389.68;NORMAL
Retiro;41;5;159.266 €;3885;4338;-453.44;OPORTUNIDAD
Salamanca;140;1;777.305 €;5552;6238;-685.82;OPORTUNIDAD
Moratalaz;139;4;823.610 €;5925;5828;97.26;NORMAL
Moratalaz;87;5;190.990 €;2195;2611;-415.71;OPORTUNIDAD
Centro;103;2;459.318 €;4459;3749;710.4;NORMAL
Salamanca;146;2;1.061.576 €;7271;6999;272.07;NORMAL
Hortaleza;41;2;89.980 €;2195;2594;-399.35;OPORTUNIDAD
Usera;56;2;379.107 €;6770;6296;473.77;NORMAL
Villa de Vallecas;70;3;509.839 €;7283;6378;905.42;NORMAL
Hortaleza;76;2;348.587 €;4587;4656;-69.32;NORMAL
Moratalaz;65;2;352.746 €;5427;5687;-260.13;NORMAL
Moncloa;57;2;221.281 €;3882;4115;-232.86;NORMAL
Latina;99;1;313.684 €;3169;3232;-63.47;NORMAL
Carabanchel;57;5;215.575 €;3782;3742;40.02;NORMAL
Puente de Vallecas;140;3;552.466 €;3946;4879;-932.81;OPORTUNIDAD
Centro;46;3;295.195 €;6417;6612;-194.7;NORMAL
Moratalaz;63;5;405.365 €;6434;6803;-368.62;NORMAL
Moratalaz;51;4;118.654 €;2327;2559;-232.44;NORMAL
Carabanchel;135;2;582.079 €;4312;4312;-0.3;NORMAL
Usera;55;4;308.536 €;5610;4711;898.75;NORMAL
Usera;133;1;708.157 €;5324;5815;-490.51;NORMAL
Puente de Vallecas;111;2;345.603 €;3114;3794;-680.46;OPORTUNIDAD
Tetuan;81;2;336.152 €;4150;3778;372.03;NORMAL
Chamartin;105;5;714.215 €;6802;5968;834.06;NORMAL
Salamanca;50;2;229.504 €;4590;4468;122.09;NORMAL
Tetuan;67;5;303.284 €;4527;4867;-340.37;NORMAL
Moratalaz;146;5;718.191 €;4919;4962;-42.88;NORMAL
Moratalaz;98;5;385.667 €;3935;3826;109.38;NORMAL
Retiro;59;1;286.662 €;4859;5467;-608.31;OPORTUNIDAD
Salamanca;99;3;218.164 €;2204;2677;-473.32;OPORTUNIDAD
Barajas;149;3;614.192 €;4122;3478;644.1;NORMAL
Moratalaz;63;2;341.468 €;5420;6457;-1036.87;OPORTUNIDAD
Tetuan;63;3;294.924 €;4681;5415;-733.66;OPORTUNIDAD
Chamberi;123;5;715.925 €;5821;5813;7.53;NORMAL
Moncloa;103;4;487.842 €;4736;5427;-690.66;OPORTUNIDAD
Moncloa;54;2;349.947 €;6481;6100;380.51;NORMAL
Usera;133;2;539.447 €;4056;3412;643.99;NORMAL
Retiro;106;4;403.974 €;3811;3574;237.08;NORMAL
Carabanchel;81;3;436.504 €;5389;5415;-26.06;NORMAL
Puente de Vallecas;73;5;285.433 €;3910;4521;-610.96;OPORTUNIDAD
Puente de Vallecas;81;1;285.455 €;3524;3686;-161.86;NORMAL
Chamartin;83;4;405.548 €;4886;5515;-628.87;OPORTUNIDAD
Tetuan;109;3;356.233 €;3268;3892;-623.8;OPORTUNIDAD
Arganzuela;78;1;482.369 €;6184;5495;689.23;NORMAL
Moncloa;53;1;254.286 €;4798;4551;246.85;NORMAL
Salamanca;45;1;148.276 €;3295;3421;-125.96;NORMAL
Chamberi;144;3;516.655 €;3588;3568;19.88;NORMAL
Villa de Vallecas;111;5;417.917 €;3765;3528;237.02;NORMAL
Moratalaz;143;3;1.052.200 €;7358;6873;485.05;NORMAL
Hortaleza;74;3;408.071 €;5514;6193;-678.52;OPORTUNIDAD
Retiro;53;1;260.266 €;4911;5761;-850.32;OPORTUNIDAD
San Blas;95;5;408.554 €;4301;5282;-981.42;OPORTUNIDAD
San Blas;128;3;928.205 €;7252;6213;1038.6;NORMAL
Barajas;135;3;368.853 €;2732;2747;-14.75;NORMAL
Chamartin;99;3;314.478 €;3177;3123;53.55;NORMAL
Centro;142;5;729.650 €;5138;4317;821.38;NORMAL
Latina;94;2;567.981 €;6042;6069;-26.64;NORMAL
Carabanchel;116;5;720.128 €;6208;6079;129.0;NORMAL
Arganzuela;56;1;230.762 €;4121;4519;-398.24;NORMAL
Moncloa;41;5;171.141 €;4174;4210;-35.82;NORMAL
Centro;149;2;520.074 €;3490;3822;-331.57;NORMAL
Usera;67;2;317.006 €;4731;5117;-385.57;NORMAL
San Blas;96;1;665.929 €;6937;5806;1130.77;NORMAL
Villaverde;142;2;832.386 €;5862;5530;331.88;NORMAL
Moratalaz;95;2;332.439 €;3499;3437;62.36;NORMAL
Salamanca;82;5;282.914 €;3450;3346;104.17;NORMAL
Barajas;147;5;675.304 €;4594;5357;-763.09;OPORTUNIDAD
Hortaleza;70;2;262.129 €;3745;3260;484.71;NORMAL
Moncloa;85;3;295.175 €;3473;3244;228.65;NORMAL
San Blas;60;1;389.609 €;6493;6750;-256.51;NORMAL
Chamartin;140;5;1.136.033 €;8115;6858;1256.53;NORMAL
Chamartin;91;2;443.100 €;4869;6074;-1204.76;OPORTUNIDAD
Villa de Vallecas;132;4;492.630 €;3732;4545;-812.95;OPORTUNIDAD
Barajas;86;5;615.750 €;7160;6687;472.89;NORMAL
Centro;90;2;520.981 €;5789;5542;246.68;NORMAL
Barajas;115;1;563.865 €;4903;4091;812.18;NORMAL
Tetuan;118;5;673.341 €;5706;6172;-465.72;NORMAL
Arganzuela;125;3;700.341 €;5603;6497;-894.27;OPORTUNIDAD
Usera;40;3;213.679 €;5342;4666;676.0;NORMAL
Arganzuela;144;2;802.842 €;5575;6579;-1003.7;OPORTUNIDAD
Moratalaz;103;5;283.611 €;2754;3048;-294.49;NORMAL
Usera;124;5;460.974 €;3718;4322;-604.46;OPORTUNIDAD
Puente de Vallecas;43;4;107.562 €;2501;2915;-413.54;OPORTUNIDAD
Moratalaz;121;4;599.276 €;4953;5919;-966.3;OPORTUNIDAD
Usera;50;2;201.784 €;4036;3403;632.69;NORMAL
Centro;116;4;363.457 €;3133;2837;296.25;NORMAL
Carabanchel;107;3;561.247 €;5245;6486;-1240.69;OPORTUNIDAD
Villaverde;144;1;1.120.412 €;7781;6516;1264.64;NORMAL
Puente de Vallecas;128;1;422.923 €;3304;3117;187.09;NORMAL
Salamanca;134;2;469.532 €;3504;4330;-826.03;OPORTUNIDAD
Vicalvaro;91;2;510.532 €;5610;5261;349.25;NORMAL
Moncloa;137;2;1.016.744 €;7421;6823;598.49;NORMAL
Hortaleza;103;1;578.126 €;5613;6839;-1226.12;OPORTUNIDAD
Centro;121;3;442.438 €;3657;3569;87.51;NORMAL
Puente de Vallecas;100;3;251.113 €;2511;2992;-480.86;OPORTUNIDAD
Retiro;45;2;215.694 €;4793;4731;62.22;NORMAL
Moratalaz;72;4;176.218 €;2447;2608;-160.52;NORMAL
Chamartin;66;5;205.276 €;3110;3565;-454.75;OPORTUNIDAD
Centro;146;2;354.321 €;2427;2957;-530.14;OPORTUNIDAD
Latina;45;3;344.966 €;7666;6895;770.91;NORMAL
Chamartin;70;5;484.808 €;6926;5998;927.84;NORMAL
Moncloa;125;2;564.989 €;4520;5595;-1075.08;OPORTUNIDAD
San Blas;82;3;247.144 €;3014;3339;-325.04;NORMAL
Latina;59;5;250.133 €;4240;5179;-939.45;OPORTUNIDAD
Ciudad Lineal;114;1;484.081 €;4246;4338;-91.68;NORMAL
Arganzuela;150;1;661.564 €;4410;3859;551.43;NORMAL
Tetuan;135;1;654.948 €;4851;5739;-887.53;OPORTUNIDAD
Vicalvaro;118;2;565.999 €;4797;4065;731.6;NORMAL
Tetuan;53;3;158.474 €;2990;3515;-524.92;OPORTUNIDAD
Usera;53;4;257.345 €;4856;4451;404.58;NORMAL
Hortaleza;85;5;508.637 €;5984;5609;374.98;NORMAL
Usera;62;1;408.771 €;6593;5663;930.1;NORMAL
Salamanca;122;3;554.087 €;4542;4124;417.7;NORMAL
Carabanchel;107;1;644.797 €;6026;5568;458.15;NORMAL
Centro;120;1;819.044 €;6825;5831;994.37;NORMAL
Villaverde;150;5;1.036.647 €;6911;6499;411.98;NORMAL
Barajas;44;1;235.835 €;5360;4880;479.89;NORMAL
Centro;49;3;195.844 €;3997;4500;-503.17;OPORTUNIDAD
Tetuan;45;3;128.476 €;2855;2611;244.04;NORMAL
Salamanca;136;4;437.618 €;3218;3229;-11.22;NORMAL
Vicalvaro;107;5;596.821 €;5578;6349;-771.23;OPORTUNIDAD
Chamartin;121;4;544.070 €;4496;4068;428.45;NORMAL
Hortaleza;65;3;490.786 €;7551;6357;1193.56;NORMAL
Moratalaz;70;3;537.220 €;7675;6619;1055.58;NORMAL
Hortaleza;93;4;508.119 €;5464;5283;180.65;NORMAL
Moncloa;84;3;320.043 €;3810;3300;510.05;NORMAL
Barajas;148;5;996.728 €;6735;6412;322.65;NORMAL
Retiro;81;1;377.396 €;4659;3998;661.22;NORMAL
Arganzuela;63;4;220.976 €;3508;3154;353.57;NORMAL
Retiro;141;1;380.106 €;2696;2738;-42.21;NORMAL
Chamberi;106;2;471.836 €;4451;4509;-57.72;NORMAL
Ciudad Lineal;89;5;460.800 €;5178;4661;516.54;NORMAL
Barajas;43;1;213.185 €;4958;4517;440.81;NORMAL
Carabanchel;92;5;474.858 €;5162;4884;277.5;NORMAL
Ciudad Lineal;128;2;580.027 €;4531;3937;594.46;NORMAL
Moncloa;75;1;305.546 €;4074;3858;215.95;NORMAL
Retiro;41;5;250.931 €;6120;5280;840.29;NORMAL
Villa de Vallecas;41;3;199.994 €;4878;4660;217.91;NORMAL
Carabanchel;126;3;773.716 €;6141;5502;638.61;NORMAL
Salamanca;88;2;582.906 €;6624;6261;362.93;NORMAL
Carabanchel;105;2;512.957 €;4885;5110;-224.69;NORMAL
Barajas;133;2;637.493 €;4793;5252;-458.82;NORMAL
Ciudad Lineal;135;3;390.992 €;2896;3237;-340.76;OPORTUNIDAD
Salamanca;146;2;675.287 €;4625;5430;-804.74;OPORTUNIDAD
Centro;116;3;513.108 €;4423;5426;-1002.65;OPORTUNIDAD
Retiro;41;1;165.821 €;4044;4840;-795.58;OPORTUNIDAD
Tetuan;40;3;261.119 €;6528;6979;-451.02;NORMAL
Barajas;150;4;950.547 €;6337;5898;438.99;NORMAL
Tetuan;126;1;445.806 €;3538;3767;-228.86;NORMAL
Barajas;93;1;284.353 €;3058;3286;-228.43;NORMAL
Puente de Vallecas;59;4;157.585 €;2671;2890;-219.06;NORMAL
Villaverde;125;1;870.501 €;6964;6347;617.01;NORMAL
Villaverde;141;5;633.426 €;4492;3907;585.38;NORMAL
Puente de Vallecas;108;3;434.400 €;4022;3757;265.22;NORMAL
Retiro;98;1;673.808 €;6876;6749;126.6;NORMAL
Villaverde;100;2;396.561 €;3966;3815;150.62;NORMAL
Salamanca;66;4;350.757 €;5315;4939;375.51;NORMAL
Chamberi;43;3;289.112 €;6724;6559;164.55;NORMAL
San Blas;103;5;394.198 €;3827;3499;328.17;NORMAL
Moncloa;51;1;159.124 €;3120;3064;56.08;NORMAL
Ciudad Lineal;97;3;399.558 €;4119;4482;-362.84;NORMAL
Tetuan;145;3;472.281 €;3257;2905;352.11;NORMAL
Ciudad Lineal;44;3;269.283 €;6120;6745;-624.93;NORMAL
Carabanchel;130;3;475.187 €;3655;3070;585.29;NORMAL
Villaverde;75;1;269.860 €;3598;4430;-831.86;OPORTUNIDAD
Hortaleza;145;4;551.911 €;3806;4494;-687.72;OPORTUNIDAD
Chamartin;106;4;710.994 €;6707;6692;15.49;NORMAL
Ciudad Lineal;108;5;427.324 €;3957;3956;0.71;NORMAL
Moncloa;65;3;335.076 €;5155;4861;294.03;NORMAL
Villaverde;79;2;236.495 €;2994;2962;31.61;NORMAL
Retiro;121;5;673.972 €;5570;5026;544.02;NORMAL
Chamberi;42;3;276.463 €;6582;6008;574.47;NORMAL
San Blas;49;2;285.554 €;5828;5252;575.64;NORMAL
Moratalaz;64;1;389.315 €;6083;6212;-128.95;NORMAL
Usera;145;1;436.441 €;3010;2512;497.94;NORMAL
Centro;60;2;323.659 €;5394;6407;-1012.67;OPORTUNIDAD
Centro;149;5;736.282 €;4941;4506;435.49;NORMAL
Latina;118;5;675.435 €;5724;6523;-798.97;OPORTUNIDAD
Centro;149;1;518.221 €;3478;4197;-719.0;OPORTUNIDAD
Villaverde;49;3;199.214 €;4066;4716;-650.39;OPORTUNIDAD
Ciudad Lineal;141;4;649.345 €;4605;5076;-470.71;NORMAL
Tetuan;92;2;453.074 €;4925;4200;724.72;NORMAL
Latina;145;3;584.783 €;4033;4252;-219.01;NORMAL
San Blas;64;1;433.265 €;6770;5816;953.77;NORMAL
